Video_ID,Comment
VtJ_2SbYoIM,감석적인 힙합 너무 좋다 ㅠㅠㅠ
VtJ_2SbYoIM,17:44  들은데 까지 남겨놓은 겁니다
VtJ_2SbYoIM,여기 댓글 왜이래요오…ㅜㅜ따듯하다.. 좋은 노래 잘듣겠슴니다아🤍
VtJ_2SbYoIM,첫곡부터미쳤다
VtJ_2SbYoIM,노래 짱 조아요!!!💗😍
VtJ_2SbYoIM,노래 너무 좋아요......🤍
VtJ_2SbYoIM,아니 유일리님 플리 항상 너무 제 취향이라 듣고 있었는데 최애곡들까지 완벽히 똑같다뇨…
VtJ_2SbYoIM,빅스비에게 힙합 음악 틀어달라고 하니 이 영상 틀어주네요😮
VtJ_2SbYoIM,감사합니다
VtJ_2SbYoIM,캬 작업할 때 들으면 능률이 올라가그등요~ 감사합니당 ㅎㅎㅎㅎ
VtJ_2SbYoIM,생각보다 너무 메이저 픽이라 다 알고 있는거네
VtJ_2SbYoIM,22:54
VtJ_2SbYoIM,22:54
VtJ_2SbYoIM,"잠깐 쉬어가며 적어봅시다.
어린시절, 이 글을 보는 그대들의 꿈은 무엇이었나요?"
VtJ_2SbYoIM,매일 아침 눈을 뜨면 듣고 싶은 노래입니다.
VtJ_2SbYoIM,잘 들었습니다
VtJ_2SbYoIM,❤❤
VtJ_2SbYoIM,좋네요🤗
VtJ_2SbYoIM,"저는 저 화면속 주인공처럼 자유로와 보이는 이십대를 보내지 못했지만    이 음악을 들으시는  십대 , 이십대 여러분은 자유를 만끽하며 남의 눈치보지 말고 하고 싶은일에 미치도록 집중하며 계절이 주는 변화도 느끼며 지내시길 바랍니다❤"
VtJ_2SbYoIM,❤
VtJ_2SbYoIM,처음부터 썸머 ㅜㅜ 뭘 좀 아시네요 ㅜㅜ
VtJ_2SbYoIM,내가 평소이 유튜브로 듣던 플레이 리스트 다 갖고왔네 ㅎㄷㄷ
VtJ_2SbYoIM,ㅁㅊ 선생님 사랑합니더 맨날 이 노래 들으면서 힐링햡니댜🫶🏻
VtJ_2SbYoIM,ㅇㄴ 썸머 듣다가 나혼자 신나서 프리스타일로 춤추고 있었는데 침대에 손 박음 ㅋㅋㅋㅋㅌㅋ 진짜 현타 온다 ㅠㅠㅠㅠㅠ
VtJ_2SbYoIM,노래가 다 맛있다 ❤
VtJ_2SbYoIM,다조음❤
VtJ_2SbYoIM,아니 사랑해요 진짜 타임라인 보자마자 구독 눌렀어요 좋아하는 것만 있어🥹
VtJ_2SbYoIM,와ㅏㅏ 내가 좋아하는거 밖에 없당😘
VtJ_2SbYoIM,이 노래의 부드러운 리듬은 내가 긴장을 풀고 스트레스를 해소하는 데 도움이 됩니다.
VtJ_2SbYoIM,뻥안치고 다내가좋다하는것만 있다..
VtJ_2SbYoIM,언니 솔직히 말해..내 재생목록 해킹햇지…
VtJ_2SbYoIM,왕.. 너무 길어서 질린다는 댓글 보고 바로 피드백하신곤가요?? 전 긴것도 좋앗어요 가끔올랴주ㅜ세요🤍
VtJ_2SbYoIM,"이 글을 읽고 있는 사람이 누구인지 모르겠지만, 만약 당신이라면, 당신은 인생에서 좋은 모든 것들을 받을 자격이 있다는 걸 알았으면 좋겠어요. 어디에 있든지 평화, 행복, 사랑을 바랍니다."
VtJ_2SbYoIM,이 사람 봐라?
VtJ_2SbYoIM,썸머부터 시작이라니... 둑흔둑흔입니다
VtJ_2SbYoIM,크으.. 애용합니다!
VtJ_2SbYoIM,🎶🎵🎶🎵🎶💘👍
mC33yYDnF5w,40:50 미친파트
