좋다
진짜
보다
노래
있다
들다
아니다
같다
너무
ㅋㅋ
없다
오다
듣다
이다
에서
사람
되다
나오다
자다
ㅋㅋㅋ
힙합
가사
미치다
가다
ㅈㄴ
그냥
ㅋㅋㅋㅋ
존나
밉다
알다
래퍼
사랑
모르다
생각
않다
비트
지금
그렇다
근데
느낌
인데
애쉬
맞다
돼다
ㄹㅇ
하고
음악
ㅋㅋㅋㅋㅋ
이렇다
하나
정도
부터
버리다
많다
목소리
나다
많이
해주다
좋아하다
까지
다시
싶다
지다
the
크다
ㅠㅠ
이랑
보고
받다
만들다
이제
치다
부르다
내다
ㄷㄷ
행복하다
로꼬
이네
벌스
저스디스
끄다
한테
영상
앨범
디스
처음
여기
기리보이
던밀스
우리
창모
어떻다
ㅋㅋㅋㅋㅋㅋ
이건
넘다
에도
라이브
국힙
멋있다
it
먹다
이렇게
뜨다
솔직하다
계속
괜찮다
댓글
새끼
같이
아직도
감사하다
보이다
따다
주다
무대
정말
뭔가
is
you
실력
멋지다
시간
쓰다
처럼
이나
늘다
들리다
이야
친구
요즘
부분
역시
차다
제발
최고
배다
제목
to
안되다
쇼미더머니
기다
이지
릴러말즈
me
그녀
다른
대다
개다
지리다
요한
on
니까
마다
한번
제일
무슨
바로
여자
듣기
릴러
귀엽다
한국
파트
플리
군대
스타일
라고
음원
누구
보이
this
두다
느끼다
자이언티
소리
박다
웃기다
해쉬
레전드
랩퍼
my
ㅅㅂ
이라
in
생각나다
ㅋㅋㅋㅋㅋㅋㅋ
Feat
자기
누가
머리
인가
빼다
웃기
빈지노
마지막
이름
이기다
시작
짜다
때문
린다
오늘
다음
타다
나르다
어디
살다
발성
불다
딥플로우
써다
찾다
인생
언제
그래서
싫다
생기다
ㅎㅎ
찢다
똑같다
항상
이영지
서동현
기원
깔다
지리
진심
내일
이번
이유
수준
so
별로
찌다
어울리다
플로우
카모
인정
and
아직
다르다
넣다
아무
도끼
라는
나가다
이고
뭐라다
감성
발음
비다
되어다
씨잼
비슷하다
잇다
자체
ㅜㅜ
오랜
간지
벌써
남자
노엘
얘기
말다
들어가다
마음
없이
전부
쉬다
에는
아쉽다
매일
도입
한요
기억
이라고
밖에
나티
시발
찍다
해보다
에게
얼굴
소름
부활
잘생기다
들어오다
스윙스
본인
이르다
천재
허다
쓸다
이노
박자
씹다
와이
놓다
그게
우승자
디스전
혼자
시즌
멀다
떨어지다
그리다
우승
웃다
중독
보여주다
재밌다
모든
시키다
라임
영어
결국
닮다
젓딧
확실하다
건가
갑자기
해도
그리고
like
이쁘다
of
거리
멀리
따르다
엄청
끝나다
돌아가다
개코
개인
올리다
